District;Neighborhood;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
08. Fuencarral-El Pardo;     087. Mirasierra;2.681;3.268;3.633;3.986;4.016;4.239;4.364;4.302;4.189;4.065;3.773;3.214;3.102;3.078;3.268;3.401;3.607;3.648
08. Fuencarral-El Pardo;     088. El Goloso;-;-;-;-;-;-;4.092;4.180;-;-;-;-;-;-;-;-;-;-
08. Fuencarral-El Pardo;     088. El Goloso (PAU Montecarmelo);-;-;-;-;-;-;-;-;4.248;4.298;4.108;3.658;3.420;3.477;3.540;3.679;-;-
09. Moncloa-Aravaca;09. Moncloa-Aravaca;;;;;;;;;;;;;;;;;;
09. Moncloa-Aravaca;     09. Moncloa-Aravaca;2.407;3.028;3.595;3.898;4.197;4.572;4.665;4.422;4.345;4.164;3.934;3.524;3.334;3.157;3.247;3.401;3.915;4.221
09. Moncloa-Aravaca;     091. Casa de Campo;2.559;3.100;3.461;3.622;4.499;4.408;4.403;3.721;3.587;3.397;3.198;2.962;2.821;2.658;2.729;3.012;-;3.712
09. Moncloa-Aravaca;     092. Argüelles;2.849;3.640;3.889;4.362;4.468;4.826;4.889;4.683;4.610;4.344;4.178;3.767;3.430;3.307;3.433;3.944;4.528;4.739
09. Moncloa-Aravaca;     093. Ciudad Universitaria;2.403;2.687;3.529;3.881;4.075;4.543;4.675;4.391;4.216;3.866;3.703;3.254;3.168;3.045;3.022;3.055;3.470;3.998
09. Moncloa-Aravaca;     094. Valdezarza;2.313;2.808;3.206;3.307;3.822;4.071;4.227;3.655;3.507;3.253;2.785;2.477;2.481;2.166;2.256;2.367;2.503;3.175
09. Moncloa-Aravaca;     095. Valdemarín;3.106;3.524;3.799;4.177;4.412;5.056;5.254;5.154;5.240;5.165;4.802;4.098;4.101;3.865;3.995;3.951;4.238;4.413
09. Moncloa-Aravaca;     096. El Plantío;1.999;-;2.685;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09. Moncloa-Aravaca;     097. Aravaca;2.003;2.320;2.920;3.540;4.000;4.427;4.478;4.104;3.880;3.928;3.733;3.361;3.141;3.191;3.310;3.365;3.824;4.198
10. Latina;10. Latina;;;;;;;;;;;;;;;;;;
10. Latina;     10. Latina;1.759;2.319;2.674;2.970;3.198;3.447;3.321;2.970;2.692;2.571;2.282;1.948;1.879;1.590;1.653;1.784;1.977;2.307
10. Latina;     101. Cármenes;1.709;2.332;2.850;3.028;3.274;3.665;3.428;3.012;2.930;2.711;2.471;2.193;2.078;1.656;1.668;1.884;1.920;-
10. Latina;     102. Puerta del Angel;1.713;2.238;2.681;3.033;3.363;3.501;3.336;3.078;2.792;2.672;2.350;1.967;1.870;1.632;1.721;1.955;2.130;2.725
10. Latina;     103. Lucero;1.801;2.238;2.631;2.848;3.257;3.433;3.343;3.036;2.705;2.541;2.246;2.002;1.850;1.699;1.665;1.734;1.940;2.232
10. Latina;     104. Aluche;1.610;2.426;2.585;2.977;3.125;3.444;3.303;2.911;2.608;2.549;2.270;1.892;1.897;1.503;1.581;1.676;1.953;2.067
10. Latina;     105. Campamento;1.615;2.270;2.806;3.040;3.112;3.448;3.299;2.872;2.644;2.518;2.190;1.941;1.933;1.572;1.638;1.770;1.949;2.174
10. Latina;     106. Cuatro Vientos;1.710;-;3.118;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
10. Latina;     107. Las Águilas;1.788;2.367;2.750;2.934;3.068;3.303;3.291;2.842;2.584;2.415;2.173;1.783;1.749;1.481;1.555;1.697;1.861;2.041
11. Carabanchel;11. Carabanchel;;;;;;;;;;;;;;;;;;
11. Carabanchel;     11. Carabanchel;1.682;2.213;2.670;2.827;3.053;3.433;3.318;2.984;2.770;2.550;2.275;1.947;1.857;1.602;1.622;1.702;1.874;2.101
11. Carabanchel;     111. Comillas;1.761;2.405;2.643;2.851;3.177;3.429;3.400;3.050;2.904;2.687;2.427;2.046;1.883;1.676;1.739;1.805;2.273;2.367
11. Carabanchel;     112. Opañel;1.626;2.262;2.749;2.844;2.954;3.542;3.379;2.973;2.695;2.521;2.249;1.921;1.804;1.641;1.659;1.721;1.887;2.212
11. Carabanchel;     113. San Isidro;1.721;2.067;2.549;2.869;3.219;3.502;3.317;3.037;2.885;2.493;2.255;1.949;1.881;1.566;1.611;1.665;1.801;2.084
11. Carabanchel;     114. Vista Alegre;1.812;2.226;2.675;2.784;3.219;3.439;3.278;2.822;2.553;2.463;2.187;1.779;1.719;1.508;1.481;1.593;1.837;2.037
